WSPD,WVHT,APD
5.1,1.26,6.20
3.4,1.31,6.43
3.1,1.39,6.78
7.1,1.48,7.03
3.9,1.59,6.92
3.9,1.40,6.97
2.8,1.60,7.22
4.5,1.46,7.01
4.1,1.45,6.80
4.7,1.39,6.66
4.4,99.00,99.00
6.3,1.35,6.53
4.9,1.35,6.70
4.5,99.00,99.00
4.9,99.00,99.00
2.8,1.35,6.41
4.6,1.36,6.61
4.5,1.41,6.58
4.7,1.44,6.26
7.1,1.37,6.30
10.4,1.43,5.91
6.6,1.39,5.63
5.9,1.38,6.09
6.8,1.34,5.70
6.5,1.49,5.90
6.5,1.37,5.70
7.6,1.45,5.79
7.3,1.39,5.74
6.8,1.39,5.80
6.1,1.38,5.57
6.2,1.39,5.79
6.2,1.45,5.90
7.1,1.34,5.77
6.9,1.40,5.62
6.8,1.49,5.77
7.0,1.34,5.46
6.4,1.46,5.74
5.9,1.42,5.66
6.2,99.00,99.00
7.1,1.53,5.80
6.3,1.42,5.36
8.8,1.58,5.80
8.6,1.62,5.62
8.2,1.57,5.39
8.0,1.54,5.36
7.4,1.55,5.34
7.1,1.59,5.50
6.9,1.41,5.40
6.5,1.37,5.37
6.5,1.27,5.26
6.5,1.30,5.50
7.1,1.28,5.34
7.3,1.34,5.49
7.7,1.36,5.34
7.0,1.29,5.29
7.1,1.28,5.37
6.4,1.29,5.14
5.7,99.00,99.00
4.5,1.36,5.33
4.3,1.26,5.38
5.1,1.31,5.48
4.5,1.24,5.43
4.3,99.00,99.00
4.9,1.23,5.56
6.0,1.23,5.32
5.9,1.29,5.50
6.4,1.24,5.34
3.4,1.17,5.40
6.6,1.26,5.43
6.7,1.26,5.37
6.6,1.10,5.19
6.0,1.07,5.17
5.8,1.03,5.05
5.3,1.07,5.17
4.9,1.08,5.50
4.4,1.05,5.48
4.5,1.11,5.67
4.5,1.02,5.72
4.3,1.03,5.68
4.6,1.02,5.53
5.1,1.03,5.74
4.6,1.03,5.56
4.4,1.09,5.52
3.7,1.01,5.90
3.5,1.06,5.60
3.0,1.03,5.50
3.5,1.02,5.56
3.1,1.02,5.85
3.0,1.02,6.07
2.7,0.99,6.05
2.9,1.02,6.20
4.1,1.00,6.02
3.2,1.06,6.17
4.0,1.04,6.31
3.3,0.99,6.20
3.1,0.92,6.18
2.4,0.95,6.37
1.8,0.96,6.74
0.3,0.90,6.53
0.8,0.84,6.41
1.5,0.87,6.47
1.4,0.87,6.55
1.7,0.94,6.66
1.6,0.98,6.78
1.7,0.93,6.76
2.1,0.96,6.56
2.2,0.90,6.58
1.8,0.95,6.53
2.8,0.97,6.52
2.0,0.95,6.42
2.5,0.87,6.19
3.4,1.02,6.51
3.2,0.91,6.41
3.5,0.97,6.59
2.0,0.91,6.49
2.0,0.94,6.65
1.2,0.87,6.52
0.1,0.92,6.64
0.1,0.84,6.58
0.3,0.86,6.59
1.2,0.83,6.57
1.8,0.81,7.08
2.3,0.79,6.92
2.5,0.79,6.91
1.4,0.78,7.10
2.3,0.80,7.06
