YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2007,01,01,00,00,55,14.4,17.4,5.08,9.09,7.33,999,961.6,2.2,4.2,999.0,99.0,99.00
2007,01,01,01,00,46,14.4,17.5,4.89,10.00,6.95,999,961.0,2.0,4.2,999.0,99.0,99.00
2007,01,01,02,00,39,14.4,17.8,4.88,9.09,6.99,999,961.3,2.3,4.2,999.0,99.0,99.00
2007,01,01,03,00,31,13.9,17.1,5.32,10.00,7.33,999,961.9,2.5,4.2,999.0,99.0,99.00
2007,01,01,04,00,25,13.8,16.6,4.33,9.09,6.82,999,962.9,2.7,4.2,999.0,99.0,99.00
2007,01,01,05,00,15,13.0,15.9,4.66,9.09,6.93,999,964.4,2.6,4.2,999.0,99.0,99.00
2007,01,01,06,00,9,12.5,15.4,4.33,9.09,6.78,999,966.2,2.8,4.1,999.0,99.0,99.00
2007,01,01,07,00,2,11.6,13.5,4.58,9.09,7.21,999,968.2,3.0,4.1,999.0,99.0,99.00
2007,01,01,08,00,357,9.6,11.8,4.07,10.00,6.98,999,970.4,3.0,4.1,999.0,99.0,99.00
2007,01,01,09,00,346,8.7,10.9,4.50,9.09,7.45,999,971.9,2.8,4.1,999.0,99.0,99.00
2007,01,01,10,00,329,7.2,8.9,4.09,9.09,7.33,999,973.2,2.9,4.1,999.0,99.0,99.00
2007,01,01,11,00,317,5.4,7.3,4.58,10.00,7.79,999,974.1,2.9,4.1,999.0,99.0,99.00
2007,01,01,12,00,306,3.8,5.6,4.83,12.90,8.20,999,974.8,3.2,4.2,999.0,99.0,99.00
2007,01,01,13,00,343,3.6,5.7,4.53,10.81,8.33,999,975.3,3.4,4.2,999.0,99.0,99.00
2007,01,01,14,00,7,4.6,6.7,5.19,10.00,8.80,999,975.6,3.1,4.2,999.0,99.0,99.00
2007,01,01,15,00,31,2.4,4.7,4.91,12.90,8.79,999,976.2,3.2,4.2,999.0,99.0,99.00
2007,01,01,16,00,61,3.1,4.8,4.83,12.90,8.78,999,976.2,3.0,4.2,999.0,99.0,99.00
2007,01,01,17,00,73,4.2,5.7,4.86,12.90,8.60,999,976.0,2.7,4.2,999.0,99.0,99.00
2007,01,01,18,00,91,3.4,5.2,5.26,12.12,9.00,999,976.0,2.7,4.2,999.0,99.0,99.00
2007,01,01,19,00,96,4.9,6.5,4.62,12.90,8.34,999,976.2,3.0,4.1,999.0,99.0,99.00
2007,01,01,20,00,99,4.5,6.0,4.18,9.09,7.93,999,976.3,3.3,4.1,999.0,99.0,99.00
2007,01,01,21,00,107,5.0,6.5,4.45,12.12,8.24,999,976.2,3.4,4.1,999.0,99.0,99.00
2007,01,01,22,00,116,5.1,6.8,3.93,12.12,7.85,999,975.7,3.6,4.1,999.0,99.0,99.00
2007,01,01,23,00,124,6.5,7.7,3.97,12.12,8.06,999,975.0,3.2,4.1,999.0,99.0,99.00
2007,01,02,00,00,120,7.4,8.7,3.90,11.43,8.16,999,974.3,3.1,4.1,999.0,99.0,99.00
2007,01,02,01,00,118,7.9,10.0,4.14,12.12,8.05,999,974.0,3.2,4.1,999.0,99.0,99.00
2007,01,02,02,00,118,7.7,9.6,4.19,10.81,8.05,999,973.6,3.3,4.2,999.0,99.0,99.00
2007,01,02,03,00,120,7.5,9.0,4.38,10.00,8.30,999,973.3,3.5,4.2,999.0,99.0,99.00
2007,01,02,04,00,127,6.4,8.3,4.00,12.12,8.30,999,973.0,4.0,4.2,999.0,99.0,99.00
2007,01,02,05,00,162,4.5,5.7,4.00,10.81,8.10,999,972.8,4.5,4.2,999.0,99.0,99.00
2007,01,02,06,00,195,3.5,5.0,4.27,12.12,8.40,999,972.7,4.6,4.2,999.0,99.0,99.00
2007,01,02,07,00,163,3.4,4.5,4.12,11.43,8.22,999,972.4,4.4,4.2,999.0,99.0,99.00
2007,01,02,08,00,178,3.8,5.2,4.39,11.43,8.64,999,972.5,4.5,4.1,999.0,99.0,99.00
2007,01,02,09,00,190,3.5,5.3,4.30,16.00,8.94,999,972.6,4.5,4.1,999.0,99.0,99.00
2007,01,02,10,00,171,2.1,3.3,4.56,13.79,9.23,999,972.4,4.4,4.1,999.0,99.0,99.00
2007,01,02,11,00,166,2.1,3.5,4.66,16.00,9.71,999,972.2,4.3,4.1,999.0,99.0,99.00
2007,01,02,12,00,198,1.3,2.8,4.09,16.00,9.44,999,972.5,4.3,4.1,999.0,99.0,99.00
2007,01,02,13,00,231,1.9,3.3,4.54,12.90,9.54,999,972.9,4.3,4.1,999.0,99.0,99.00
2007,01,02,14,00,269,3.4,5.6,3.93,14.81,9.37,999,973.2,4.3,4.2,999.0,99.0,99.00
2007,01,02,15,00,277,4.1,5.5,3.79,14.81,9.05,999,973.5,3.6,4.2,999.0,99.0,99.00
2007,01,02,16,00,271,4.4,6.2,3.64,12.90,9.00,999,973.8,4.0,4.2,999.0,99.0,99.00
2007,01,02,17,00,262,6.1,7.5,3.67,14.81,9.17,999,974.1,4.3,4.1,999.0,99.0,99.00
2007,01,02,18,00,280,8.8,12.2,3.43,12.90,8.52,999,974.3,3.6,4.1,999.0,99.0,99.00
2007,01,02,19,00,319,17.6,22.2,3.43,10.00,6.75,999,976.4,1.0,4.1,999.0,99.0,99.00
2007,01,02,20,00,332,12.0,14.6,3.74,14.81,6.69,999,979.0,1.5,4.1,999.0,99.0,99.00
2007,01,02,21,00,328,12.5,16.0,3.77,12.90,6.49,999,980.7,1.0,4.1,999.0,99.0,99.00
2007,01,02,22,00,318,14.7,17.9,3.87,6.67,6.54,999,982.7,0.2,4.1,999.0,99.0,99.00
2007,01,02,23,00,317,13.1,15.5,4.32,7.69,6.85,999,984.2,0.6,4.1,999.0,99.0,99.00
2007,01,03,00,00,303,16.2,20.0,5.00,8.33,6.93,999,985.7,-0.9,4.1,999.0,99.0,99.00
2007,01,03,01,00,300,16.6,19.7,5.96,10.81,7.58,999,987.7,-1.3,4.0,999.0,99.0,99.00
2007,01,03,02,00,293,14.8,18.8,5.33,10.00,7.37,999,989.2,-1.4,4.0,999.0,99.0,99.00
2007,01,03,03,00,292,15.5,19.0,5.23,9.09,7.52,999,990.5,-1.5,4.0,999.0,99.0,99.00
2007,01,03,04,00,308,13.5,16.6,5.39,8.33,7.33,999,991.5,-1.5,4.0,999.0,99.0,99.00
2007,01,03,05,00,287,13.4,16.2,5.05,10.00,7.43,999,992.2,-1.4,4.0,999.0,99.0,99.00
2007,01,03,06,00,294,13.9,16.6,5.02,10.00,7.55,999,992.9,-1.6,4.0,999.0,99.0,99.00
2007,01,03,07,00,292,13.9,17.3,4.73,8.33,6.90,999,993.7,-2.4,4.0,999.0,99.0,99.00
2007,01,03,08,00,294,14.5,17.5,5.18,9.09,7.37,999,994.4,-1.2,4.0,999.0,99.0,99.00
2007,01,03,09,00,296,15.5,18.7,4.91,9.09,7.30,999,995.2,-1.5,4.0,999.0,99.0,99.00
2007,01,03,10,00,288,15.6,20.7,5.44,10.00,7.38,999,995.6,-1.3,4.0,999.0,99.0,99.00
2007,01,03,11,00,295,14.4,17.4,4.99,8.33,7.15,999,995.9,-1.3,4.0,999.0,99.0,99.00
2007,01,03,12,00,293,15.9,20.4,5.08,9.09,7.14,999,996.5,-1.4,4.0,999.0,99.0,99.00
2007,01,03,13,00,284,14.7,21.3,4.93,9.09,7.04,999,997.4,-2.5,4.0,999.0,99.0,99.00
2007,01,03,14,00,293,16.5,19.9,4.48,10.00,6.93,999,997.4,-1.0,4.0,999.0,99.0,99.00
2007,01,03,15,00,299,15.0,17.4,5.22,10.00,7.62,999,998.2,-1.4,4.0,999.0,99.0,99.00
2007,01,03,16,00,289,14.1,19.4,5.53,10.00,7.58,999,998.9,-1.1,4.0,999.0,99.0,99.00
2007,01,03,17,00,297,14.5,18.5,5.39,10.00,7.53,999,999.4,-1.2,3.9,999.0,99.0,99.00
2007,01,03,18,00,296,15.0,18.8,5.06,10.00,7.26,999,1000.3,-1.2,3.9,999.0,99.0,99.00
2007,01,03,19,00,297,14.2,18.7,5.25,10.00,7.44,999,1001.5,-1.5,3.9,999.0,99.0,99.00
2007,01,03,20,00,293,13.9,17.6,4.83,10.00,7.16,999,1002.0,-1.1,3.9,999.0,99.0,99.00
2007,01,03,21,00,285,14.0,18.0,4.95,10.81,7.26,999,1002.7,-0.7,3.9,999.0,99.0,99.00
2007,01,03,22,00,280,13.5,17.2,4.77,10.00,7.11,999,1003.1,-0.7,3.9,999.0,99.0,99.00
2007,01,03,23,00,278,12.1,15.1,5.08,10.00,7.31,999,1003.2,-0.5,4.0,999.0,99.0,99.00
2007,01,04,00,00,251,10.9,14.5,4.56,10.00,7.07,999,1003.0,-0.9,4.0,999.0,99.0,99.00
2007,01,04,01,00,282,11.8,15.9,4.36,10.00,6.97,999,1002.9,-0.5,4.0,999.0,99.0,99.00
2007,01,04,02,00,261,10.5,13.0,4.03,10.00,6.91,999,1002.8,-0.4,4.0,999.0,99.0,99.00
2007,01,04,03,00,251,7.6,9.8,4.00,10.00,7.00,999,1002.3,0.7,3.9,999.0,99.0,99.00
2007,01,04,04,00,224,7.6,9.2,3.94,10.00,7.06,999,1001.0,0.8,3.9,999.0,99.0,99.00
2007,01,04,05,00,195,6.2,7.3,3.56,10.00,7.19,999,999.0,0.0,3.9,999.0,99.0,99.00
2007,01,04,06,00,163,8.1,10.2,3.51,9.09,7.37,999,996.2,0.6,3.9,999.0,99.0,99.00
2007,01,04,07,00,164,10.2,12.0,3.24,10.00,7.07,999,993.2,1.5,3.9,999.0,99.0,99.00
2007,01,04,08,00,198,10.3,12.6,3.32,9.09,6.61,999,990.6,3.4,4.0,999.0,99.0,99.00
2007,01,04,09,00,229,11.0,14.3,3.71,10.00,6.97,999,989.4,4.5,4.0,999.0,99.0,99.00
2007,01,04,10,00,243,12.3,15.6,3.37,10.00,6.45,999,989.6,4.9,4.0,999.0,99.0,99.00
2007,01,04,11,00,245,12.0,15.0,3.98,8.33,6.45,999,989.9,4.8,4.0,999.0,99.0,99.00
2007,01,04,12,00,243,12.9,16.2,3.91,8.33,6.46,999,990.0,4.8,4.0,999.0,99.0,99.00
2007,01,04,13,00,244,12.6,15.8,4.00,8.33,6.74,999,990.1,4.8,4.0,999.0,99.0,99.00
2007,01,04,14,00,239,10.9,13.6,4.28,10.81,6.96,999,990.1,4.6,4.0,999.0,99.0,99.00
