WSPD,WVHT,APD
14.4,5.08,7.33
14.4,4.89,6.95
14.4,4.88,6.99
13.9,5.32,7.33
13.8,4.33,6.82
13.0,4.66,6.93
12.5,4.33,6.78
11.6,4.58,7.21
9.6,4.07,6.98
8.7,4.50,7.45
7.2,4.09,7.33
5.4,4.58,7.79
3.8,4.83,8.20
3.6,4.53,8.33
4.6,5.19,8.80
2.4,4.91,8.79
3.1,4.83,8.78
4.2,4.86,8.60
3.4,5.26,9.00
4.9,4.62,8.34
4.5,4.18,7.93
5.0,4.45,8.24
5.1,3.93,7.85
6.5,3.97,8.06
7.4,3.90,8.16
7.9,4.14,8.05
7.7,4.19,8.05
7.5,4.38,8.30
6.4,4.00,8.30
4.5,4.00,8.10
3.5,4.27,8.40
3.4,4.12,8.22
3.8,4.39,8.64
3.5,4.30,8.94
2.1,4.56,9.23
2.1,4.66,9.71
1.3,4.09,9.44
1.9,4.54,9.54
3.4,3.93,9.37
4.1,3.79,9.05
4.4,3.64,9.00
6.1,3.67,9.17
8.8,3.43,8.52
17.6,3.43,6.75
12.0,3.74,6.69
12.5,3.77,6.49
14.7,3.87,6.54
13.1,4.32,6.85
16.2,5.00,6.93
16.6,5.96,7.58
14.8,5.33,7.37
15.5,5.23,7.52
13.5,5.39,7.33
13.4,5.05,7.43
13.9,5.02,7.55
13.9,4.73,6.90
14.5,5.18,7.37
15.5,4.91,7.30
15.6,5.44,7.38
14.4,4.99,7.15
15.9,5.08,7.14
14.7,4.93,7.04
16.5,4.48,6.93
15.0,5.22,7.62
14.1,5.53,7.58
14.5,5.39,7.53
15.0,5.06,7.26
14.2,5.25,7.44
13.9,4.83,7.16
14.0,4.95,7.26
13.5,4.77,7.11
12.1,5.08,7.31
10.9,4.56,7.07
11.8,4.36,6.97
10.5,4.03,6.91
7.6,4.00,7.00
7.6,3.94,7.06
6.2,3.56,7.19
8.1,3.51,7.37
10.2,3.24,7.07
10.3,3.32,6.61
11.0,3.71,6.97
12.3,3.37,6.45
12.0,3.98,6.45
12.9,3.91,6.46
12.6,4.00,6.74
10.9,4.28,6.96
10.5,4.24,7.13
10.3,4.67,7.66
11.5,4.47,7.33
10.5,4.35,7.60
9.7,5.17,8.26
10.4,4.80,8.03
12.6,4.81,7.82
14.7,5.06,7.72
14.8,5.11,7.70
18.8,5.64,7.42
15.6,6.30,8.03
16.5,6.08,7.83
15.2,6.36,8.30
14.5,6.68,8.40
13.1,7.49,9.16
13.6,6.45,8.65
13.3,6.49,8.61
13.2,6.12,8.56
14.2,6.21,8.56
10.8,7.04,9.36
12.6,6.68,9.03
11.3,6.15,8.77
12.6,6.17,8.66
10.9,6.10,8.84
13.0,6.12,8.85
6.5,7.06,9.80
5.2,6.71,9.56
7.5,6.79,9.56
10.5,6.40,8.87
15.5,7.59,9.56
14.7,7.38,9.45
17.7,6.97,8.58
18.9,7.55,8.87
17.8,8.07,9.54
17.0,8.41,9.81
14.7,7.66,9.44
13.0,7.44,9.58
12.1,7.10,9.36
10.7,7.38,9.98
9.0,7.17,10.02
7.2,6.82,9.89
6.7,7.12,10.00
4.5,6.75,9.63
4.2,6.01,9.41
3.4,6.16,9.46
6.4,5.49,9.11
6.7,4.56,8.39
7.4,4.97,8.75
8.2,4.42,8.53
8.2,4.45,8.67
9.6,4.18,8.31
9.8,4.17,8.25
9.7,3.86,7.97
9.7,3.54,7.72
7.9,3.66,7.88
8.6,3.21,7.57
7.4,3.24,7.60
6.2,3.00,7.28
5.8,3.03,7.44
3.4,2.87,7.29
5.1,2.79,7.13
6.8,2.54,6.90
8.3,2.30,6.56
11.0,2.68,7.08
11.8,2.82,6.82
12.5,3.90,7.85
13.3,4.32,7.93
13.7,4.03,7.20
12.2,4.20,7.36
12.9,4.10,7.03
12.5,4.27,6.95
11.8,4.21,7.05
12.0,4.07,7.11
11.6,4.10,7.19
9.8,4.25,7.43
10.0,4.16,7.43
11.1,3.90,7.18
9.9,3.93,7.19
9.5,4.21,7.40
8.3,3.77,7.06
9.8,4.12,7.36
9.4,3.99,7.31
10.3,3.46,6.93
9.9,3.79,7.12
